,course_type,course_name,course_link,uni_name,uni_city,scholarship_avail,course_cost,lang_of_instr,lang_level,semester_beginning,online_course
14,Short course and language course,"Animals in German Literature, Culture and Society",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6345/,University of Bamberg ,Bamberg,available,EUR 600,German,"German: B1, B2, C1, C2","August 04 - August 28, 2021",0
15,Language course,Applied Linguistics for Chinese Language Teachers and Translators,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6344/,Internationale Hochschule SDI München/International University SDI München ,München,,EUR 520,"German, Chinese","German: C1, C2","August 02 - August 14, 2021 (Registration Deadline June 13, 2021)",0
16,Language course,Autumn Course: Communication in Everyday and Academic Life,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4926/,University of Göttingen ,Göttingen,available,EUR 499,German,"German: A1, A2, B1, B2, C1","September 06 - September 30, 2021 (Registration Deadline July 17, 2021)",0
17,Language course,"Basis-Deutsch A1: Online German Course, Level A1",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5197/,g.a.s.t. / Deutsch-Uni Online ,München,,EUR 499,German,"German: A1, A2, B1, B2, C1","September 06 - September 30, 2021 (Registration Deadline July 17, 2021)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
18,Language course,"Basis-Deutsch A2: Online German Course, Level A2",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5198/,g.a.s.t. / Deutsch-Uni Online ,München,,EUR 499,German,"German: A1, A2, B1, B2, C1","September 06 - September 30, 2021 (Registration Deadline July 17, 2021)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
19,Language course,Berlin in the Winter / Berlin in the Summer,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4978/,Humboldt-Universität zu Berlin ,Berlin,,EUR 550 - 580,German,"German: A1, A2, B1, B2, C1, C2","January 06 - January 26, 2021 (Registration Deadline November 15, 2020), June 14 - July 09, 2021 (Registration Deadline May 15, 2021), July 19 - August 13, 2021 (Registration Deadline May 15, 2021)",0
20,Language course,Berlin Intensive: German for Technicians and Engineers,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5143/,Technical University of Applied Sciences Wildau ,Berlin,available,EUR 550,German,"German: C1, B2","August 03 - August 27, 2021",0
21,Language course,Berlin Summer Courses for Academics & Professionals,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5020/,Technical University of Applied Sciences Wildau ,Berlin,available,EUR 525 - 550,German,"German: A1, A2, B1, B2, C1","May 03 - June 01, 2021, June 07 - July 02, 2021, July 05 - July 30, 2021, August 03 - August 27, 2021, August 30 - September 24, 2021, September 27 - October 22, 2021",0
22,Short course and language course,Business Communication in Germany,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4910/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
23,Language course,Business German Course in Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5142/,Technical University of Applied Sciences Wildau ,Berlin,available,EUR 550,German,"German: B2, C1","July 05 - July 30, 2021",0
