Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,2000/2001,3721,3765,805,763,194,80
,2001/2002,4253,4427,1028,901,233,94
,2002/2003,4901,4976,1182,1132,288,122
,2003/2004,5714,5306,1446,1386,352,146
,2004/2005,5858,5322,1636,1465,448,167
,2005/2006,5894,5354,1697,1513,523,202
,2006/2007,5648,5072,1643,1411,519,200
,2007/2008,5080,4543,1470,1265,484,186
,2008/2009,4632,4394,1385,1213,470,158
,2009/2010,4185,3911,1344,1218,495,172
,2010/2011,3760,3454,1239,1262,467,124
,2011/2012,3445,3293,1197,1322,462,133
,2012/2013,3258,3104,1237,1354,447,132
,2013/2014,3038,2849,1272,1388,463,132
,2014/2015,2907,2834,1312,1451,473,127
,2015/2016,2358,3184,830,1941,507,127
,2016/2017,2032,2939,793,1891,501,104
,2017/2018,1902,2736,731,1799,502,103
,2018/2019,1734,2666,725,1751,533,92
,2019/2020,1617,2602,683,1668,535,106
    Portugal,1998/1999,529,399,170,286,49,15
,1999/2000,574,380,168,275,53,16
,2000/2001,593,407,176,273,65,13
,2001/2002,622,446,193,271,66,14
,2002/2003,630,458,211,279,68,21
,2003/2004,616,429,223,269,82,20
,2004/2005,532,377,207,266,83,22
,2005/2006,438,381,218,253,68,25
,2006/2007,429,374,200,235,81,22
,2007/2008,400,377,208,246,62,22
,2008/2009,406,428,218,253,74,21
,2009/2010,435,412,246,269,63,21
,2010/2011,454,474,280,319,70,21
,2011/2012,491,469,296,341,72,26
,2012/2013,522,509,330,376,92,23
,2013/2014,588,607,400,424,79,20
,2014/2015,621,652,430,454,93,22
,2015/2016,580,787,286,654,109,27
,2016/2017,606,809,331,692,125,25
,2017/2018,608,848,345,714,137,37
,2018/2019,636,923,342,703,151,30
,2019/2020,656,974,313,662,156,32
    Rumänien,1998/1999,520,372,281,150,94,12
,1999/2000,621,474,364,206,114,14
,2000/2001,749,583,519,239,119,23
,2001/2002,1004,686,721,278,139,32
,2002/2003,1182,866,863,346,150,42
,2003/2004,1367,1023,980,392,177,38
,2004/2005,1501,1144,1008,370,195,53
,2005/2006,1484,1134,960,379,193,51
,2006/2007,1442,1182,931,367,183,51
,2007/2008,1217,1075,804,341,164,35
,2008/2009,1077,1090,761,342,167,38
,2009/2010,1035,1110,749,387,168,34
,2010/2011,994,1063,732,442,187,39
,2011/2012,993,992,750,499,186,32
,2012/2013,972,1044,760,529,205,34
,2013/2014,941,1019,736,529,198,38
,2014/2015,903,1032,735,528,206,38
,2015/2016,761,1147,318,952,253,37
,2016/2017,720,1107,319,935,274,46
,2017/2018,696,1109,326,922,276,45
,2018/2019,674,1100,319,997,285,51
,2019/2020,702,1153,322,1012,303,53
    Schweden,1998/1999,348,368,101,119,42,24
