,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type,german_cities_dup,german_cities_y,german_states
61,62,PhD / Doctorate,Forest Sciences and Forest Ecology (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3931/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
62,63,PhD / Doctorate,Geography (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4400/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Göttingen,Göttingen,Lower Saxony
63,64,PhD / Doctorate,German-French Graduate College Statistical Physics of Complex Systems in Equilibrium and Non-Equilibrium,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4152/,Leipzig University ,Leipzig,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Leipzig,Leipzig,Saxony
64,65,PhD / Doctorate,German-French Master's and Doctoral Programme in History - Deutsch-Französisches Master- und Doktorandenprogramm in Geschichtswissenschaften,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4377/,Universität Heidelberg ,Heidelberg,inquire,"German, French",6 semesters,Winter semester,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
65,66,PhD / Doctorate,GGNB Biomolecules: Structure - Function - Dynamics (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3868/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
66,67,PhD / Doctorate,GGNB Cellular and Molecular Physiology of the Brain (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3932/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
67,68,PhD / Doctorate,GGNB Emerging Infectious Diseases - Leibniz Graduate School (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4402/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
68,69,PhD / Doctorate,GGNB Genes and Development (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3870/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
69,70,PhD / Doctorate,GGNB International Max Planck Research School for Genome Science (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4781/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Winter semester,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
70,71,PhD / Doctorate,GGNB Microbiology and Biochemistry (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4243/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
71,72,PhD / Doctorate,GGNB Molecular Biology of Cells (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3869/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
72,73,PhD / Doctorate,GGNB Molecular Biology — International Max Planck Research School (MSc/PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3741/,University of Göttingen ,Göttingen,inquire,English,8 semesters,Winter semester,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
73,74,PhD / Doctorate,GGNB Neurosciences — International Max Planck Research School (MSc/PhD/MD-PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3742/,University of Göttingen ,Göttingen,inquire,English,8 semesters,Winter semester,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
74,75,PhD / Doctorate,GGNB Physics of Biological & Complex Systems - International Max Planck Research School (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3935/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
75,76,PhD / Doctorate,GGNB Sensory and Motor Neuroscience (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3933/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
76,77,PhD / Doctorate,GGNB Systems Neuroscience (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3939/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
77,78,PhD / Doctorate,GGNB Theoretical and Computational Neuroscience (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3936/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
78,79,Graduate school,GRADE - Goethe Research Academy for Early Career Researchers,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5329/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,6 semesters,Any time,Structured research and supervision,Frankfurt am Main,Frankfurt am Main,Hesse
79,80,Graduate school,Graduate Academy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5257/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,Any time,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
80,81,PhD / Doctorate,Graduate College: The Economics of Innovative Change,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3882/,Friedrich Schiller University Jena ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision,Jena,Jena,Thuringia
81,82,PhD / Doctorate,Graduate Programme Competition Economics - DFG GRK 1974,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4574/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,Any time,Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
82,83,PhD / Doctorate,Graduate Programme for Transcultural Studies (GPTS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3959/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,Winter semester,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
83,84,PhD / Doctorate,Graduate Programme in Labour Market Research of the Institute for Employment Research (IAB) and the School of Business and Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4410/,FAU Erlangen-Nürnberg ,Nürnberg,inquire,English,6 semesters,Winter semester,Structured research and supervision,Nuremberg,Nuremberg,Bavaria
84,85,Graduate school,Graduate Research School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5216/,Brandenburg University of Technology Cottbus-Senftenberg ,Cottbus,inquire,English,6 semesters,Winter semester,Structured research and supervision,Cottbus,Cottbus,Brandenburg
85,86,Graduate school,Graduate School Cluster of Excellence CUI: Advanced Imaging of Matter,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6287/,Universität Hamburg ,Hamburg,inquire,English,6 semesters,Winter semester,Structured research and supervision,Hamburg,Hamburg,Hamburg
86,87,PhD / Doctorate,Graduate School Empirical and Applied Linguistics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4110/,University of Münster ,Münster,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Münster,Münster,North Rhine-Westphalia
87,88,PhD / Doctorate,Graduate School for East and Southeast European Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4463/,Universität Regensburg ,Regensburg,inquire,"German, English",7 semesters,Winter semester,Structured research and supervision,Regensburg,Regensburg,Bavaria
88,89,PhD / Doctorate,Graduate School for Geoinformatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4406/,University of Münster ,Münster,inquire,English,6 semesters,Any time,Structured research and supervision,Münster,Münster,North Rhine-Westphalia
89,90,PhD / Doctorate,Graduate School Global and Area Studies (GSGAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7035/,Leipzig University ,Leipzig,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Leipzig,Leipzig,Saxony
90,91,PhD / Doctorate,Graduate School Language & Literature Munich,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3766/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Munich,Munich,Bavaria
91,92,PhD / Doctorate,Graduate School Life Science Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6547/,TU Darmstadt ,Darmstadt,inquire,English,6 semesters,Any time,Structured research and supervision,Darmstadt,Darmstadt,Hesse
92,93,PhD / Doctorate,Graduate School Life Science Munich: From Molecules to Systems (LSM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5271/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
93,94,PhD / Doctorate,Graduate School of Biomedical Science (BIOME),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6884/,University of Duisburg-Essen ,Essen,inquire,English,6 semesters,Any time,Structured research and supervision,Essen,Essen,North Rhine-Westphalia
94,95,PhD / Doctorate,Graduate School of Decision Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4424/,University of Konstanz ,Konstanz,inquire,English,6 semesters,Winter semester,Structured research and supervision,Konstanz,Konstanz,Baden-Württemberg
95,96,PhD / Doctorate,Graduate School of East Asian Studies (GEAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6113/,Freie Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
