,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type,german_cities_dup,german_cities_y,german_states
93,94,Bachelor's degree,"Business Management (BSc), full-time",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6947/,SRH University of Applied Sciences Hamm ,Leverkusen,"4.080,00",English,6 semesters,Winter semester,,,,Leverkusen,Leverkusen,North Rhine-Westphalia
94,95,Bachelor's degree,Citizenship and Civic Engagement (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6355/,Karlshochschule International University ,Karlsruhe,"4.140,00",English,6 semesters,Winter semester,,,,Karlsruhe,Karlsruhe,Baden-Württemberg
95,96,Bachelor's degree,Cognitive Science (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3611/,Osnabrück University ,Osnabrück,none,"German, English",6 semesters,Winter semester,,,,Osnabrück,Osnabrück,Lower Saxony
96,97,Bachelor's degree,Comparative and European Law (Hanse Law School),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7063/,University of Oldenburg ,Oldenburg,none,"German, English",8 semesters,Winter semester,,,,Oldenburg,Oldenburg,Lower Saxony
97,98,Bachelor's degree,Computer Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6143/,University of Duisburg-Essen ,Duisburg,none,"German, English",6 semesters,Winter semester,,,,Duisburg,Duisburg,North Rhine-Westphalia
98,99,Bachelor's degree,Computer Science (CTS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4669/,Ulm University of Applied Sciences ,Ulm,,English,8 semesters,Winter semester,,,,Ulm,Ulm,Baden-Württemberg
99,100,Bachelor's degree,Creative Industries Management (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6218/,SRH Berlin University of Applied Sciences ,Berlin,"3.900,00",English,7 semesters,"Winter semester, Summer semester",,,,Berlin,Berlin,Berlin
100,101,Bachelor's degree,Development | Digital Products + Services (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7015/,SRH Berlin University of Applied Sciences ,Berlin,"3.900,00",English,7 semesters,"Winter semester, Summer semester",,,,Berlin,Berlin,Berlin
101,102,Bachelor's degree,Digital Games (Bachelor of Arts),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4509/,TH Köln (University of Applied Sciences) ,Köln,none,English,7 semesters,Winter semester,,,,Cologne,Cologne,North Rhine-Westphalia
102,103,Bachelor's degree,Digital Media (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4561/,Leuphana University Lüneburg ,Lüneburg,none,English,6 semesters,Winter semester,,,,Lüneburg,Lüneburg,Lower Saxony
103,104,Bachelor's degree,Double Bachelor's Degree in Marine Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6315/,"Hochschule Wismar - University of Applied Sciences, Technology, Business and Design ",Rostock,"1.150,00",English,7 semesters,Winter semester,,,,Rostock,Rostock,Mecklenburg-Western Pomerania
104,105,Bachelor's degree,Double Bachelor's Degree in Nautical Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7059/,"Hochschule Wismar - University of Applied Sciences, Technology, Business and Design ",Rostock,"1.000,00",English,8 semesters,Winter semester,,,,Rostock,Rostock,Mecklenburg-Western Pomerania
105,106,Bachelor's degree,Economics (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6960/,Leuphana University Lüneburg ,Lüneburg,none,English,6 semesters,Winter semester,,,,Lüneburg,Lüneburg,Lower Saxony
106,107,Bachelor's degree,EEIGM French-German Bachelor's Programme (Materials Science),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4416/,Saarland University ,Saarbrücken,none,"German, French",6 semesters,Winter semester,,,,Saarbrücken,Saarbrücken,Saarland
107,108,Bachelor's degree,Electrical and Electronic Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6150/,University of Duisburg-Essen ,Duisburg,none,"German, English",6 semesters,Winter semester,,,,Duisburg,Duisburg,North Rhine-Westphalia
108,109,Bachelor's degree,"Electrical and Electronics Engineering, BSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4227/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,,Kleve,Kleve,North Rhine-Westphalia
109,110,Bachelor's degree,Electrical Engineering and Information Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3993/,University of Applied Sciences Ravensburg-Weingarten ,Weingarten,"1.500,00","German, English",7 semesters,Summer semester,,,,Weingarten,Weingarten,Baden-Württemberg
110,111,Bachelor's degree,Electrical Engineering with a Focus on Automation and Industrial Internet of Things (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3618/,Hochschule Mannheim - University of Applied Sciences ,Mannheim,"1.500,00","English, German",7 semesters,Winter semester,,,,Mannheim,Mannheim,Baden-Württemberg
111,112,Bachelor's degree,Electrical Engineering with a Focus on Power Engineering and Renewable Energies (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3617/,Hochschule Mannheim - University of Applied Sciences ,Mannheim,"1.500,00","English, German",7 semesters,Winter semester,,,,Mannheim,Mannheim,Baden-Württemberg
112,113,Bachelor's degree,Electrical Systems Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6320/,Heilbronn University of Applied Sciences ,Heilbronn,"1.500,00","German, English",7 semesters,Winter semester,,,,Heilbronn,Heilbronn,Baden-Württemberg
113,114,Bachelor's degree,Electromobility and Green Energy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4854/,University of Applied Sciences Ravensburg-Weingarten ,Weingarten,"1.500,00","German, English",7 semesters,Summer semester,,,,Weingarten,Weingarten,Baden-Württemberg
114,115,Bachelor's degree,Electronic Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4876/,Hamm-Lippstadt University of Applied Sciences ,Lippstadt,none,English,7 semesters,Winter semester,,,,Lippstadt,Lippstadt,North Rhine-Westphalia
115,116,Bachelor's degree,Energy Systems Engineering (BEng),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7019/,Deggendorf Institute of Technology ,Pfarrkirchen,none,English,7 semesters,Winter semester,,,,Pfarrkirchen,Pfarrkirchen,Bavaria
116,117,Bachelor's degree,Engineering and Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5650/,Technische Hochschule Ingolstadt ,Ingolstadt,none,English,7 semesters,Winter semester,,,,Ingolstadt,Ingolstadt,Bavaria
117,118,Bachelor's degree,Engineering Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3748/,Hamburg University of Technology ,Hamburg,none,English,7 semesters,Winter semester,,,,Hamburg,Hamburg,Hamburg
118,119,Bachelor's degree,"Environment and Energy, BSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4223/,Rhine-Waal University of Applied Sciences ,Kamp-Lintfort,none,English,7 semesters,Winter semester,,,,Kamp-Lintfort,Kamp-Lintfort,North Rhine-Westphalia
119,120,Bachelor's degree,Environmental and Resource Management (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4026/,Brandenburg University of Technology Cottbus-Senftenberg ,Cottbus,none,English,6 semesters,Winter semester,,,,Cottbus,Cottbus,Brandenburg
120,121,Bachelor's degree,European Business Programme (EBP),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3910/,FH Münster – University of Applied Sciences ,Münster,none,"German, English",7 semesters,Winter semester,,,,Münster,Münster,North Rhine-Westphalia
121,122,Bachelor's degree,European Studies (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4188/,Otto von Guericke University Magdeburg ,Magdeburg,none,"German, English, Other teaching language",6 semesters,Winter semester,,,,Magdeburg,Magdeburg,Saxony-Anhalt
122,123,Bachelor's degree,Expanded Realities (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6195/,Hochschule Darmstadt University of Applied Sciences ,Dieburg,none,English,7 semesters,Winter semester,,,,Dieburg,Dieburg,Hesse
123,124,Bachelor's degree,Finance & Management (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7068/,International School of Management (ISM) ,Frankfurt am Main,"5.280,00",English,6 semesters,"Winter semester, Summer semester",,,,Frankfurt am Main,Frankfurt am Main,Hesse
124,125,Bachelor's degree,"Franco-German Bachelor of Arts / Licence in German and French Language, Literature and Culture Mainz-Dijon",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4508/,Johannes Gutenberg University Mainz ,Mainz,none,"German, French",6 semesters,"Winter semester, Summer semester",,,,Mainz,Mainz,Rhineland-Palatinate
125,126,Bachelor's degree,"Gender and Diversity, BA",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4375/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,,Kleve,Kleve,North Rhine-Westphalia
126,127,Bachelor's degree,German as a Foreign and Second Language,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3602/,Bielefeld University ,Bielefeld,none,German,6 semesters,"Winter semester, Summer semester",,,,Bielefeld,Bielefeld,North Rhine-Westphalia
127,128,Bachelor's degree,German-French-Luxembourgish Study Course in Physics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6887/,Saarland University ,Saarbrücken,none,"German, English, French",6 semesters,Winter semester,,,,Saarbrücken,Saarbrücken,Saarland
128,129,Bachelor's degree,German-Italian Studies (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3846/,University of Bonn ,Bonn,none,"German, French, Italian, Spanish",6 semesters,Winter semester,,,,Bonn,Bonn,North Rhine-Westphalia
129,130,Bachelor's degree,German-Latin American Studies of Business Administration - CALA,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3911/,FH Münster – University of Applied Sciences ,Münster,none,"German, English, Spanish, Other teaching language",7 semesters,Winter semester,,,,Münster,Münster,North Rhine-Westphalia
130,131,Bachelor's degree,Global Business and Economics (Bachelor of Science),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4849/,FH Aachen University of Applied Sciences ,Aachen,none,English,6 semesters,Winter semester,,,,Aachen,Aachen,North Rhine-Westphalia
131,132,Bachelor's degree,Global Economics and Business Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6921/,Technische Hochschule Ingolstadt ,Ingolstadt,none,"German, English, Other teaching language",7 semesters,Winter semester,,,,Ingolstadt,Ingolstadt,Bavaria
132,133,Bachelor's degree,Global Environmental and Sustainability Studies (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5430/,Leuphana University Lüneburg ,Lüneburg,none,English,6 semesters,Winter semester,,,,Lüneburg,Lüneburg,Lower Saxony
133,134,Bachelor's degree,Global Information Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6954/,University of Hildesheim Foundation ,Hildesheim,none,"German, English",8 semesters,Winter semester,,,,Hildesheim,Hildesheim,Lower Saxony
134,135,Bachelor's degree,"Globalisation, Governance and Law (BA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7129/,Karlshochschule International University ,Karlsruhe,"4.140,00",English,6 semesters,Winter semester,,,,Karlsruhe,Karlsruhe,Baden-Württemberg
135,136,Bachelor's degree,Health Informatics (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4822/,Deggendorf Institute of Technology ,Pfarrkirchen,none,English,7 semesters,Winter semester,,,,Pfarrkirchen,Pfarrkirchen,Bavaria
136,137,Bachelor's degree,"Health Information Management, Bachelor of Science (Bilingual)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6564/,Hochschule Hannover - University of Applied Sciences and Arts ,Hannover,none,"German, English",8 semesters,"Winter semester, Summer semester",,,,Hanover,Hanover,Lower Saxony
137,138,Bachelor's degree,Industrial Engineering (BEng),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4668/,Deggendorf Institute of Technology ,Pfarrkirchen,none,English,7 semesters,Winter semester,,,,Pfarrkirchen,Pfarrkirchen,Bavaria
138,139,Bachelor's degree,"Industrial Engineering, BSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4228/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,,Kleve,Kleve,North Rhine-Westphalia
139,140,Bachelor's degree,Informatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7051/,University of Applied Sciences Zwickau ,Zwickau,none,German,7 semesters,Winter semester,,,,Zwickau,Zwickau,Saxony
140,141,Bachelor's degree,"Information and Communication Design, BA",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4221/,Rhine-Waal University of Applied Sciences ,Kamp-Lintfort,none,English,7 semesters,Winter semester,,,,Kamp-Lintfort,Kamp-Lintfort,North Rhine-Westphalia
